case_number,date,year,type,country,area,activity,fatal,species,pdf
2011.05.22,22-May-2011,2011,Unprovoked,USA,Hawaii,Paddle boarding,N,Tiger shark,2011.05.22-DeBina.pdf
2011.05.21.b,21-May-2011,2011,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Spearfishing,Y,Zambesi shark,2011.05.21.b-Smart.pdf
2011.05.13.b,13-May-2011,2011,Unprovoked,USA,Florida,Body surfing,N,,2011.05.13.b-Brown.pdf
2011.05.21.a,21-May-2011,2011,Unprovoked,NEW CALEDONIA,North Province,Kite Boarding,Y," Tiger shark, 2.8m",2011.05.21.a-Nathan.pdf
2011.05.13.a,13-May-2011,2011,Unprovoked,USA,Florida,Surfing,N,,2011.05.13.a-Bronson.pdf
2011.05.10,10-May-2011,2011,Provoked,USA,Florida,Fishing ,N,"Sandbar shark, 8'",2011.05.10-Storch.pdf
2011.05.07.R,Reported 07-May-2011,2011,Invalid,UNITED ARAB EMIRATES (UAE),Umm al Qaywayan Province,Fishing ,UNKNOWN,Invalid,2011.05.07.R-UAE.pdf
2011.05.04,04-May-2011,2011,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Spearfishing,N,,2011.05.04-Burger.pdf
2011.04.26,26-Apr-2011,2011,Unprovoked,USA,Florida,Spearfishing,N,"Bull shark, 12'",2011.04.26-Seagrich.pdf
2011.04.23,23-Apr-2011,2011,Unprovoked,AUSTRALIA,Western Australia,Washing sand off a speared fish,N,"reef shark, 1.5m",2011.04.23-VanderVyver.pdf
2011.04.22,22-Apr-2011,2011,Unprovoked,USA,Florida,Surfing ,N,1' to 2' shark,2011.04.22-RonWhite.pdf
2011.04.16,16-Apr-2011,2011,Unprovoked,NEW ZEALAND,South Island,Surfing,N,possibly a bronze whaler shark,2011.04.16-Hobson.pdf
2011.04.12,13-Apr-2011,2011,Unprovoked,INDONESIA,Bali,Surfing,N," Bull shark, 2.5 m",2011.04.12-Ferrar.pdf
2011.04.08,08-Apr-2011,2011,Unprovoked,FIJI,Vitu Levu,Diving,N,,2011.04.08-Caucau.pdf
2011.03.29.R,Reported 29-Mar-2011,2011,Provoked,USA,Texas,"Standing, holding shark pup",N,Blacktip shark pup,2011.03.29.R-Orlando.pdf
2011.03.24,24-Mar-2011,2011,Unprovoked,MEXICO,Quintana Roo,Swimming,N,Bull shark,2011.03.24-Taran.pdf
2011.03.23,23-Mar-2011,2011,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,"Bull shark, 2.5m",2011.03.23-Pearson.pdf
2011.03.21.b,21-Mar-2011,2011,Unprovoked,MEXICO,Quintana Roo,Swimming,N,,2011.03.21.b-Masternak.pdf
2011.03.21.a,21-Mar-2011,2011,Unprovoked,FIJI,,Diving / fishing,N,,2011.03.21.a-Jeke.pdf
2011.03.16,16-Mar-2011,2011,Unprovoked,AUSTRALIA,New South Wales,Wakeboarding,N,3 m to 4 m shark,2011.03.16-Mondy.pdf
2011.03.10.R,Reported 10-Mar-2010,2011,Invalid,EGYPT,South Sinai Peninsula,,UNKNOWN,,2011.03.10.R-Sharm-scavenging.pdf
2011.03.10,10-Mar-2011,2011,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,,2011.03.10.a-Puri.pdf
2011.02.28.R,Reported 28-Feb-2011,2011,Provoked,AUSTRALIA,Queensland,Fishing,N,"Bull shark, 2m",2011.02.28.R-Nyari.pdf
2011.02.23,23-Feb-2011,2011,Unprovoked,NEW CALEDONIA, Loyalty Islands,Spearfishing,N,1.5 m shark,2011.02.23-Jean-Luc.pdf
2011.02.19,18-Feb-2011,2011,Unprovoked,REUNION,Saint Gilles ,Surfing,N,,2011.02.19-Dargent.pdf
2011.02.17,17-Feb-2011,2011,Unprovoked,AUSTRALIA,South Australia,Diving for abalone,Y,White shark x 2,2011.02.17-Clarkson.pdf
2011.02.13,13-Feb-2011,2011,Provoked,AUSTRALIA,Queensland,Fishing,N,1 m shark,2011.02.13-SunshineBeach-angler.pdf
2011.02.12,12-Feb-2011,2011,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,N,,2011.02.12-Exmouth.pdf
2011.02.04.R,Reported 04-Feb-2011,2011,Provoked,MEXICO,Colima,Shark fishing on the Ricardo Astorga,N,,2011.02.04.R-Camacho.pdf
2011.02.02,02-Feb-2011,2011,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surf fishing,N,,2011.02.02-Jonk.pdf
2011.01.31,31-Jan-2011,2011,Unprovoked,MEXICO,Quintana Roo,Swimming,N,6' shark,2011.01.31-Moore.pdf
2011.01.28,28-Jan-2011,2011,Provoked,MEXICO,Colima,Shark fishing on the Don Agustín-VI. ,N,,2011.01.28-Camargo.pdf
2011.01.26,26-Jan-2011,2011,Unprovoked,BAHAMAS,West End,Scuba diving,N,Caribbean reef shark,2011.01.26-Abernethy.pdf
2011.01.20,20-Jan-2011,2011,Invalid,AUSTRALIA,New South Wales,Swimming,UNKNOWN,Shark involvement not confirmed,2011.01.20-Merlini.pdf
2011.01.15,15-Jan-2011,2011,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,Y,,2011.01.15-Ndamase.pdf
2011.01.12.R,Reported 12-Jan 2011,2011,Unprovoked,MEXICO,Quintana Roo,Attempting to fix motor,N,,2011.01.12.R-Infante.pdf
2011.01.03,03-Jan-2011,2011,Boat,AUSTRALIA,Western Australia,Fishing,N,White shark,2011.01.03-BusseltonBoat.pdf
2010.12.26,26-Dec-2010,2010,Unprovoked,USA,Hawaii,Body boarding,N,6' shark,2010.12.26-Stover-French.pdf
2010.12.17,17-Dec-2010,2010,Unprovoked,FIJI,Vitu Levu,Surfing,N,,2010.12.17-Gracia.pdf
2010.12.11,11-Dec-2010,2010,Unprovoked,USA,Hawaii,Surfing,N,,2010.12.11-Wilson.pdf
2010.12.05,05-Dec-2010,2010,Unprovoked,EGYPT,South Sinai Peninsula,Snorkeling,Y,"Oceanic whitetip shark, 2.5m ",2010.12.05-Renate- Seiffert.pdf
2010.12.03.R,Reported 03-Dec-2010,2010,Unprovoked,INDONESIA,Bali,Surfing,N,,2010.12.03.R-Ong.pdf
2010.12.01.b,01-Dec-2010,2010,Unprovoked,EGYPT,South Sinai Peninsula,Snorkeling,N,Mako shark ,2010.12.01.b-Yevgeniy-Trishkin.pdf
2010.12.01.a,01-Dec-2010,2010,Unprovoked,EGYPT,South Sinai Peninsula,Snorkeling,N,Mako shark,2010.12.01.a-Viktor-Koliy.pdf
2010.11.30.b,30-Nov-2010,2010,Unprovoked,EGYPT,South Sinai Peninsula,Snorkeling,N,"Oceanic whitetip shark, 2.5m, female",2010.11.30.b-Lyudmila-Stolyarova.pdf
2010.11.30.a,30-Nov-2010,2010,Unprovoked,EGYPT,South Sinai Peninsula,Snorkeling,N,"Oceanic whitetip shark, 2.5m, female",2010.11.30.a-Olga Marsyenko.pdf
2010.11.27.R,Reported 27-Nov-2010,2010,Unprovoked,SAMOA,,Fishing,N,,2010.11.27.R-Samoa.pdf
2010.11.27,27-Nov-2010,2010,Invalid,AUSTRALIA,Western Australia,Swimming,UNKNOWN,Shark involvement not confirmed,2010.11.27.a-Utley.pdf
2010.11.19,19-Nov-2010,2010,Provoked,USA,Palmyra Atoll,Snorkeling,N,,2010.11.19-Pollock.pdf
2010.11.15,15-Nov-2010,2010,Unprovoked,DOMINICAN REPUBLIC,,Diving,Y,,2010.11.15-Zapata.pdf
2010.11.14,14-Nov-2010,2010,Unprovoked,INDONESIA,Bali,Surfing,N,,2010.11.14-Bali.pdf
2010.11.12.R,Reported 12-Nov-2010,2010,Boat,AUSTRALIA,Western Australia,Fishing,N,White shark,2010.11.12.R-Gade.pdf
2010.10.30,30-Oct-2010,2010,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,N,White shark,2010.10.30-Francom.pdf
2010.10.28.R,Reported 28-Oct-2010,2010,Unprovoked,AUSTRALIA,Western Australia,Spearfishing,N,,2010.10.28.R-Plant.pdf
2010.10.28,28-Oct-2010,2010,Unprovoked,USA,Oregon,Surfing,N,,2010.10.28.a-SethMead.pdf
2010.10.25,25-Oct-2010,2010,Provoked,AZORES,,Fishing,N,,2010.10.25-Gedi-crewman.pdf
2010.10.23.b,23-Oct-2010,2010,Unprovoked,USA,Maine,Scuba diving,N,"Porbeagle shark, 8' ",2010.10.23-MacNichol.pdf
2010.10.23.a,23-Oct-2010,2010,Unprovoked,AUSTRALIA,Western Australia,Kite Surfing,N,,2010.10.23.a-Walker.pdf
2010.10.22,22-Oct-2010,2010,Unprovoked,USA,California,Body boarding,Y,"White shark, 14' to 18' ",2010.10.22-Ransom.pdf
2010.10.20,20-Oct-2010,2010,Unprovoked,EGYPT,South Sinai Peninsula,Snorkeling,N,,2010.10.20-Rubanovich.pdf
2010.10.09,09-Oct-2010,2010,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,"Bull shark, 1.4m ",2010.10.09-Turk.pdf
2010.10.02.b,02-Oct-2010,2010,Unprovoked,BAHAMAS,Exuma Islands,Snorkeling,N,Lemon shark,2010.10.02.b-Molla.pdf
2010.10.02.a,02-Oct-2010,2010,Unprovoked,BAHAMAS,Abaco Islands,Surfing,N,Possibly a 6' lemon shark,2010.10.02.a-Engle.pdf
2010.10.01,01-Oct-2010,2010,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,N,,2010.10.01-Melkbaai-surfer.pdf
2010.09.27,27-Sep-2010,2010,Unprovoked,USA,Oregon,Surfing,N,White shark,2010.09.27-Lowden-COLLIER.pdf
2010.09.24,24-Sep-2010,2010,Unprovoked,USA,Virginia,Surfing,N,,2010.09.24-Kauchak.pdf
2010.09.21,21-Sep-2010,2010,Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming,Y,White shark,2010.09.21-Momoza.pdf
2010.09.13, 13-Sep-2010,2010,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,2m shark,2010.09.13-Davis.pdf
2010.09.07,07-Sep-2010,2010,Unprovoked,USA,Florida,Swimming,N,3' shark,2010.09.07-Whitworth.pdf
2010.09.06.R,Reported 06-Sep-2010,2010,Unprovoked,TONGA,Ha'api ,Swimming /  Whale Watching,N,,2010.09.06.R-Jensen.pdf
2010.09.04, 04-Sep-2010,2010,Unprovoked,USA,Florida,Surfing,N,,2010.09.04-Kerr.pdf
2010.09.03.b,03-Sep-2010,2010,Unprovoked,USA,Florida,Surfing,N,,2010.09.03.b-Coffman.pdf
2010.09.03.a,03-Sep-2010,2010,Unprovoked,USA,Florida,Surfing,N,,2010.09.03.a-Heald.pdf
2010.09.02,02-Sep-2010,2010,Unprovoked,SOLOMON ISLANDS,Western Province,,N,,2010.09.02-D'Emden.pdf
2010.08.29,29-Aug-2010,2010,Invalid,BAHAMAS,Exuma Islands,Swimming after boat became disabled,UNKNOWN,Shark involvement prior to death was not confirmed,2010.08.29-Newton.pdf
2010.08.18,18-Aug-2010,2010,Unprovoked,USA,Florida,Boogie Boarding,N,,2010.08.18-Shorten.pdf
2010.08.17,17-Aug-2010,2010,Unprovoked,AUSTRALIA,Western Australia,Surfing,Y,White shark,2010.08.17-Edwards.pdf
2010.08.14,14-Aug-2010,2010,Boating,USA,California,Kayak Fishing,N,White shark,2010.08.14-Coca.pdf
2010.08.10.b,10-Aug-2010,2010,Provoked,AUSTRALIA,Queensland,Fishing,N,,2010.08.10.b-Townsville.pdf
2010.08.10,10-Aug-2010,2010,Unprovoked,SOUTH KOREA,Jeju Province,Swimming,N,,2010.08.10.a-Pierce.pdf
2010.08.08,08-Aug-2010,2010,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,,2010.08.08-Carroll.pdf
2010.08.07.b,07-Aug-2010,2010,Unprovoked,USA,North Carolina,Surfing,N,,2010.08.07.b-Clement.pdf
2010.08.07.a,07-Aug-2010,2010,Unprovoked,MALTA,,Windsurfing,N,3 m shark,2010.08.07.a-Bonavia.pdf
2010.08.05,05-Aug-2010,2010,Invalid,USA,Florida,Swimming,UNKNOWN,Shark involvement not confirmed,2010.08.05-Fischman.pdf
2010.08.02.b,02-Aug-2010,2010,Boating,USA,California,Kayaking,N,"White shark, 15'",2010.08.02.b-Strosaker.pdf
2010.08.02.a,02-Aug-2010,2010,Unprovoked,USA,Florida,Standing,N,3' to 4' shark,2010.08.02.a-Presser.pdf
2010.07.25,25-Jul-2010,2010,Unprovoked,USA,South Carolina,Standing,N,4' shark,2010.07.25-Stamm.pdf
2010.07.23,23-Jul-2010,2010,Unprovoked,USA,Florida,Surfing,N,,2010.07.23-Schulz.pdf
2010.07.19,19-Jul-2010,2010,Unprovoked,USA,South Carolina,Swimming,N,Possibly a small blacktip shark,2010.07.19-Myers.pdf
2010.07.17.b,17-Jul-2010,2010,Unprovoked,USA,North Carolina,Swimming,N,"Sandtiger shark, 4' to 5'",2010.07.17.b-Parker.pdf
2010.07.17.a,17-Jul-2010,2010,Unprovoked,USA,Florida,Surfing,N,A small spinner shark,2010.07.17.a-Johnston.pdf
2010.07.16.b,16-Jul-2010,2010,Provoked,SPAIN,Grand Canary Island,Swimming,N,Angel shark,2010.07.16.b-Spain.pdf
2010.07.16.a,16-Jul-2010,2010,Unprovoked,USA,Texas,Fishing,N,,2010.07.16.a-Gauzer.pdf
2010.07.11,11-Jul-2010,2010,Provoked,USA,Florida,Fishing,N,"Nurse shark, juvenile ",2010.07.11-Lauderdale-fisherman.pdf
2010.07.04,04-Jul-2010,2010,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Snorkeling,N,,2010.07.04-Haiden.pdf
2010.07.03,03-Jul-2010,2010,Provoked,USA,New York,Fishing,N,"Blue shark, 7'",2010.07.03-Joseph.pdf
2010.07.02.b,02-Jul-2010,2010,Unprovoked,USA,California,Surfing,N,4' shark,2010.07.02.b-Crane.pdf
2010.07.02.a,02-Jul-2010,2010,Unprovoked,USA,California,Stand-Up Paddleboarding,N,8' shark,2010.07.02.a-Bull.pdf
2010.06.27,27-Jun-2010,2010,Unprovoked,USA,Texas,Surfing,N,"Bull shark, 5'",2010.06.27-Rogers.pdf
2010.06.25.b,25-Jun-2010,2010,Unprovoked,USA,South Carolina,Boogie Boarding,N,,2010.06.25.b-Morris.pdf
2010.06.25.a,25-Jun-2010,2010,Unprovoked,USA,North Carolina,Swimming,N,,2010.06.25.a-Schlentz.pdf
2010.06.15,15-Jun-2010,2010,Unprovoked,VIETNAM,Binh Dinh Province,Swimming,N,1 m shark,2010.06.15-Hoang.pdf
2010.06.10,10-Jun-2010,2010,Unprovoked,USA,Florida,Boogie Boarding,N,4' shark,2010.06.10-Mayo-Foster.pdf
2010.06.06,06-Jun-2010,2010,Unprovoked,AUSTRALIA,Western Australia,Surfing,N,,2010.06.06-Bedford.pdf
2010.06.00,Jun-2010,2010,Unprovoked,USA,Florida,Surfing,N,,2010.06.00-Searcy.pdf
2010.05.30,30-May-2010,2010,Provoked,USA,Florida,Fishing,N,"Lemon shark, 4'",2010.05.30-Seymore.pdf
2010.05.18.c,18-May-2010,2010,Unprovoked,VIETNAM,Binh Dinh Province,Rescuing,N,20 to 30kg shark,2010.05.18.c-Thao.pdf
2010.05.18.b,18-May-2010,2010,Unprovoked,VIETNAM,Binh Dinh Province,Swimming,N,20 to 30kg shark,2010.05.18.b-Thanh.pdf
2010.05.18.a,18-May-2010,2010,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,,2010.05.18.a-Gibson.pdf
2010.05.03,03-May-2010,2010,Unprovoked,MADAGASCAR,Antsiranana Province,Scuba diving,N,,2010.05.03-Touzet.pdf
2010.05.01,01-May-2010,2010,Unprovoked,USA,Florida,Wading,N,4' shark,2010.05.01-Dubois.pdf
2010.04.28,28-Apr-2010,2010,Provoked,USA,Florida,Measuring sharks,N,"Lemon shark, 6'",2010.04.28-Gatrich.pdf
2010.04.19,19-Apr-2010,2010,Unprovoked,USA,Hawaii,Surfing,N,14' shark,2010.04.19-Rawlinson.pdf
2010.04.13,13-Apr-2010,2010,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,N,2 m shark,2010.04.13-Denton.pdf
2010.04.04,04-Apr-2010,2010,Unprovoked,EGYPT,Sinai Peninsula,Swimming / treading water,N,"Oceanic whitetip shark, 6'",2010.04.04-Elliot.pdf
2010.03.27, 27-Mar-2010,2010,Unprovoked,REUNION,Saint-Benoit,Surfing,N,1.5 m shark,2010.03.27-Schorebreak.pdf
2010.02.19,190Feb-2010,2010,Unprovoked,NEW ZEALAND,South Island,Swimming,N,Possibly a blue shark,2010.02.19-Baird.pdf
2010.02.16,16-Feb-2010,2010,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,N,3 m shark,2010.02.16-duPlessis.pdf
2010.02.15,15-Feb-2010,2010,Unprovoked,FIJI,Off Vanua Levu,Scuba diving,Y,,2010.02.15-Usimewa.pdf
2010.02.13,13-Feb-2010,2010,Unprovoked,AUSTRALIA,Queensland,Snorkeling,N,2 m shark,2010.02.13-Trumbull.pdf
2010.02.11,11-Feb-2010,2010,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,"Wobbegong shark, 1.6m",2010.02.11-Welsh.pdf
2010.02.06.R,Reported 06-Feb-2010,2010,Provoked,NEW ZEALAND,South Island,Spearfishing,N,2 m to 3 m shark,2010.02.06.R-Muilwyk.pdf
2010.02.06.b,06-Feb-2010,2010,Unprovoked,AUSTRALIA,New South Wales,Body boarding,N,"White shark, 2.5m",2010.02.06.b-Everson.pdf
2010.02.06.a,06-Feb-2010,2010,Provoked,USA,Florida,Surf fishing / wading,N,"Spinner shark, 6'",2010.02.06.a-RivieraBeach.pdf
2010.02.04,04-Feb-2010,2010,Invalid,GUAM,Merizo,Spearfishing (free diving),UNKNOWN,Invalid,2010.02.04-Duenas.pdf
2010.02.03,03-Feb-2010,2010,Unprovoked,USA,Florida,Kite Boarding,Y,,2010.02.03-Schafer.pdf
2010.02.01,01-Feb-2010,2010,Provoked,NEW ZEALAND,South Island,Boogie Boarding,N,1.5 m shark,12.26
2010.01.30,31-Jan-2010,2010,Unprovoked,BRAZIL,Rio Grande Do Sul,Surfing,N,Thought to involve a juvenile hammerhead shark,2010.01.30-Andrei.pdf
2010.01.27,27-Jan-2010,2010,Unprovoked,AUSTRALIA,Queensland,Surfing,N,,2010.01.27-Ramage.pdf
2010.01.22.b,22-Jan-2010,2010,Unprovoked,UNITED ARAB EMIRATES (UAE),Dubai,Surfing,N,,2010.01.22.b-Geraghty.pdf
2010.01.22.a,22-Jan-2010,2010,Unprovoked,AUSTRALIA,Victoria,Surfing,N,,2010.01.22.a-Lockie.pdf
2010.01.12,12-Jan-2010,2010,Unprovoked,SOUTH AFRICA,Western Province,Standing,Y,White shark,2010.01.12-Skinner.pdf
2010.01.09.d,09-Jan-2010,2010,Unprovoked,AUSTRALIA,Torres Strait,Snorkeling,N,"Whitetip reef shark, 1m",2010.01.09.d-Morrissey.pdf
2010.01.09.c,09-Jan-2010,2010,Unprovoked,VIETNAM,Binh Dinh Province,,N,,2010.01.09.c-woman.pdf
2010.01.09.b,09-Jan-2010,2010,Unprovoked,VIETNAM,Binh Dinh Province,,N,,2010.01.09.b-Hanh.pdf
2010.01.09.a,09-Jan-2010,2010,Unprovoked,VIETNAM,Binh Dinh Province,Bathing,N,,2010.01.09.a-Tuan.pdf
2010.01.06,06-Jan-2010,2010,Unprovoked,USA,Florida,Spearfishing,N,,2010.01.06-Chirino.pdf
2010.01.05,05-Jan-2010,2010,Unprovoked,SOUTH AFRICA,Eastern Province,Surfing,N,,2010.01.05-Nahoon-surfer.pdf
2009.12.29,29-Dec-2009,2009,Unprovoked,SOUTH AFRICA,Eastern Cape  Province,Wading,N,,2009.12.29-Bruce.pdf
2009.12.26,26-Dec-2009,2009,Provoked,AUSTRALIA,New South Wales,Swimming,N,,2009.12.26-Sojoski.pdf
2009.12.22,22-Dec-2009,2009,Unprovoked,MOZAMBIQUE,Maputo Province,Swimming,N,"Zambesi shark, 2m ",2009.12.22-Fraser.pdf
2009.12.20.b,20-Dec-2009,2009,Boating,AUSTRALIA,Queensland,Kayaking,N,,2009.12.20.b-Queensland-Kayak.pdf
2009.12.20.a,20-Dec-2009,2009,Unprovoked,AUSTRALIA,Queensland,Spearfishing,N,"Bull shark, 3m",2009.12.20.a-Pengelly.pdf
2009.12.18,18-Dec-2009,2009,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Paddling on kneeboard,Y,,2009.12.18.a-Nduva.pdf
2009.12.18,18-Dec-2009,2009,Invalid,SOUTH AFRICA,KwaZulu-Natal,Surfing,UNKNOWN,No shark involvement,2009.12.18.b-Morris-barracuda bite.pdf
2009.12.16,16-Dec-2009,2009,Unprovoked,NEW ZEALAND,South Island,Swimming to shore from capsized kayak,Y,"White shark, 2.8 to 3 m ",2009.12.16-Philips.pdf
2009.12.13,13-Dec-2009,2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,,2009.12.13-Hughes.pdf
2009.12.12,12-Dec-2009,2009,Boating,AUSTRALIA,New South Wales,Rowing,N,White shark,2009.12.12-Ross-boat.pdf
2009.12.06,05-Dec-2009,2009,Provoked,USA,New Jersey,Diving,N,"Sandtiger shark, 8'",2009.12.06-Large.pdf
2009.11.25,25-Nov-2009,2009,Invalid,USA,California,Surfing,UNKNOWN,Shark involvement not confirmed,2009.11.25-Hall.pdf
2009.11.24,24-Nov-2009,2009,Unprovoked,USA,Florida,Wading,N,6' shark,2009.11.24-Gollighugh.pdf
2009.11.16.b,16-Nov-2009,2009,Unprovoked,USA,California,Fishing,N,Thresher shark,2009.11.16.b-White.pdf
2009.11.16.a,16-Nov-2009,2009,Unprovoked,USA,Florida,Surfing,N,,2009.11.16.a-Burdelski.pdf
2009.11.13,13-Nov-2009,2009,Unprovoked,USA,Florida,Surfing,N,,2009.11.13-Hardcastle.pdf
2009.11.11,11-Nov-2009,2009,Unprovoked,USA,Florida,Surfing,N,4' shark,2009.11.11-NewSmyrnaBeach.pdf
2009.11.08,08-Nov-2009,2009,Unprovoked,AUSTRALIA,South Australia,Kayaking,N,2 m shark,2009.11.08-Brougham.pdf
2009.11.05,05-Nov-2009,2009,Unprovoked,USA,California,Surfing,N,,2009.11.05-Geiselman.pdf
2009.10.30,30-Oct-2009,2009,Boating,AUSTRALIA,Victoria,Kayaking,N,"White shark, 4m",2009.10.30-Gadsden.pdf
2009.10.29.R,Reported 29-Oct-2009,2009,Unprovoked,MOZAMBIQUE,Inhambane Province,Spearfishing,N,Zambesi shark,2009.10.29.R-Rogotzki.pdf
2009.10.28,28-Oct-2009,2009,Unprovoked,AUSTRALIA,New South Wales,Paddle-boarding,N,,2009.10.28-Lowe.pdf
2009.10.24,24-Oct-2009,2009,Unprovoked,USA,California,Surfing,N,,2009.10.24-Scott-Barton.pdf
2009.10.19,19-Oct-2009,2009,Unprovoked,USA,Hawaii,Surfing,N,6' to 8' shark,2009.10.19-Henrich.pdf
2009.10.18,18-Oct-2009,2009,Unprovoked,PANAMA,Bocas,Wading,N,,2009.10.18-Panama.pdf
2009.10.17,17-Oct-2009,2009,Provoked,SCOTLAND,Fife,Diving,N,Angel shark,2009.10.17-DeepSeaWorld.pdf
2009.10.14.R,Reported 14-Oct-2009,2009,Unprovoked,AUSTRALIA,Western Australia,Diving,N,"Bull shark, 10'",2009.10.14.R-Bowen.pdf
2009.10.09,09-Oct-2009,2009,Unprovoked,USA,California,Surfing,N,,2009.10.09-Wagor.pdf
2009.10.02,02-Oct-2009,2009,Provoked,UNITED KINGDOM,Devon,Fishing,N,Spurdog,2009.10.02-UK.pdf
2009.09.26,26-Sep-2009,2009,Unprovoked,USA,Florida,Swimming,N,"Bull shark, 8'",2009.09.26-Callahan.pdf
2009.09.18,18-Sep-2009,2009,Unprovoked,VIETNAM,,,N,,2009.09.18-Vinh.pdf
2009.09.15,15-Sep-2009,2009,Provoked,SOMALIA,,Fishing,N,,2009.09.15-SpanishSailor.pdf
2009.09.13,13-Sep-2009,2009,Provoked,BRAZIL,Pernambuco,,Y,,2009.09.13-Monteiro.pdf
2009.09.12,12-Sep-2009,2009,Invalid,USA,North Carolina,Swimming,Y,Shark involvement prior to death not confirmed,2009.09.12-Snead.pdf
2009.09.07,07-Sep-2009,2009,Unprovoked,BRAZIL,Pernambuco,"Swimming, attempting to rescue a girl  believed to be drowning",Y,,2009.09.07-Barbosa.pdf
2009.09.02,02-Sep-2009,2009,Invalid,NEVIS,,Swimming,UNKNOWN,Invalid,2009.09.02-Mills.pdf
2009.09.01,01-Sep-2009,2009,Provoked,SOLOMON ISLANDS,Makira-Ulawa Province,Fishing,N,,2009.09.01-Kirakira.pdf
2009.08.30,30-Aug-2009,2009,Unprovoked,USA,California,Surfing,N,4' shark,2009.08.30-Hedgepeth.pdf
2009.08.29,29-Aug-2009,2009,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,Y,White shark,2009.08.29-VanZyl.pdf
2009.08.25,25-Aug-2009,2009,Unprovoked,USA,California,Swimming,N,"White shark, 5' to 6' juvenile ",2009.08.25-Edmund.pdf
2009.08.11,11-Aug-2009,2009,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Body boarding,N,"White shark, 2m",2009.08.11-Nagel.pdf
2009.08.10,10-Aug-2009,2009,Unprovoked,USA,Florida,Swimming,N,,2009.08.10-Volusia.pdf
2009.08.06,06-Aug-2009,2009,Unprovoked,USA,Hawaii,Surfing,N,"Tiger shark, 12",2009.08.06-Crawford.pdf
2009.08.01,01-Aug-2009,2009,Unprovoked,USA,Louisiana,Wade Fishing,N,Bull shark?,2009.08.01-Haynes.pdf
2009.07.31,31-July-2009,2009,Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,N,Bull shark,2009.07.31-Mitchell.pdf
2009.07.30,30-Jul-2009,2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,,2009.07.30-Skyring.pdf
2009.07.29,29-Jul-2009,2009,Unprovoked,VIETNAM,Binh Dinh Province,Swimming,N,,2009.07.29-Hong.pdf
2009.07.24.R,Reported 24-Jul-2009,2009,Unprovoked,KENYA,Mombasa,Washing his feet,Y,,2009.07.24.R-Likoni.pdf
2009.07.24.b,24-Jul-2009,2009,Unprovoked,USA,Texas,Wading,N,,2009.07.24.b-Casas.pdf
2009.07.24.a,24-Jul-2009,2009,Invalid,SPAIN,Catalunya,Swimming,UNKNOWN,Shark involvement questionable,2009.07.24.a-Spain.pdf
2009.07.22.b,22-Jul-2009,2009,Unprovoked,USA,North Carolina,Swimming,N,,2009.07.22.b-Mittleberg.pdf
2009.07.22.a,22-Jul-2009,2009,Unprovoked,USA,Florida,Swimming,N,,2009.07.22.a-JennaJames.pdf
2009.07.18,18-Jul-2009,2009,Unprovoked,VIETNAM,Binh Dinh Province,Swimming,N,,2009.07.18-Haynh.pdf
2009.07.11.b,11-Jul-2009,2009,Provoked,BAHAMAS,,Spearfishing,N,"Caribbean reef shark, 6'",2009.07.11.b-Cooper.pdf
2009.07.11.a,11-Jul-2009,2009,Unprovoked,USA,California,Paddle-surfing,N,5' shark,2009.07.11.a-Hovnanian.pdf
2009.07.07,07-Jul-2009,2009,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,N,,2009.07.07-Buckley.pdf
2009.07.05,05-Jul-2009,2009,Unprovoked,USA,Florida,Boogie Boarding,N,,2009.07.05-Daytona.pdf
2009.07.04,04-Jul-2009,2009,Provoked,USA,Florida,Swimming,N,"Nurse shark, 6'",2009.07.04-Miami.pdf
2009.06.27,27-Jun-2009,2009,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,"Thought to involve a Bronze whale shark, 2m",2009.06.27-Wade.pdf
2009.06.21,21-Jun-2009,2009,Invalid,USA,California,Surfing,UNKNOWN,Shark involvement not confirmed,2009.06.21-California.pdf
